secid,permno,Ticker,Name
204284,14625,'HRTG','HERITAGE INSURANCE HOLDINGS INC'
204285,14634,'PE','PARSLEY ENERGY INC'
204392,14714,'ANET','ARISTA NETWORKS INC'
204418,14697,'MOBL','MOBILEIRON INC'
204440,14703,'MRD','MEMORIAL RESOURCE DEVELOPMENT CO'
204457,14682,'RYAM','RAYONIER ADVANCED MATERIALS INC'
204464,14683,'SSE','SEVENTY SEVEN ENERGY INC'
204467,14693,'CBMG','CELLULAR BIOMEDICINE GROUP INC'
204468,14716,'CCS','CENTURY COMMUNITIES INC'
204474,14751,'VRTV','VERITIV CORP'
204476,14712,'ZSPH','ZS PHARMA INC'
204480,14684,'TMST','TIMKENSTEEL CORP'
204481,14711,'ZFGN','ZAFGEN INC'
204482,14719,'ECR','ECLIPSE RESOURCES CORP'
204483,14695,'KITE','KITE PHARMA INC'
204490,14685,'FNFV','FIDELITY NATIONAL FINL INC NEW'
204492,14713,'ADPT','ADEPTUS HEALTH INC'
204493,14688,'AMPH','AMPHASTAR PHARMACEUTICALS INC'
204494,14723,'IMPR','IMPRIVATA INC'
204504,14694,'GPRO','GOPRO INC'
204523,14750,'SERV','SERVICEMASTER GLOBAL HOLDINGS IN'
204526,14696,'MIK','MICHAELS COMPANIES INC'
204531,14686,'NSAM','NORTHSTAR ASSET MANAGEMENT GROUP'
204689,14811,'LMCK','LIBERTY MEDIA CORP 3RD NEW'
204752,14950,'AST','ASTERIAS BIOTHERAPEUTICS INC'
204759,14828,'SAGE','SAGE THERAPEUTICS INC'
204760,14831,'TERP','TERRAFORM POWER INC'
204761,14782,'TRUP','TRUPANION INC'
204762,14834,'TUBE','TUBEMOGUL INC'
204770,14792,'BHBK','BLUE HILLS BANCORP INC'
204771,14821,'NAME','RIGHTSIDE GROUP LTD'
204785,14805,'IMDZ','IMMUNE DESIGN CORP'
204786,14836,'XENT','INTERSECT E N T INC'
204791,14774,'PFNX','PFENEX INC'
204794,14781,'TRNC','TRONC INC'
204796,14759,'WMS','ADVANCED DRAINAGE SYSTEMS INC'
204797,14812,'LOCO','EL POLLO LOCO HOLDINGS INC'
204799,14823,'OCUL','OCULAR THERAPEUTIX INC'
204841,14803,'HQY','HEALTHEQUITY INC'
204868,14790,'ADVM','ADVERUM BIOTECHNOLOGIES INC'
204869,14763,'CTLT','CATALENT INC'
205036,14776,'SYF','SYNCHRONY FINANCIAL'
205045,14851,'FCB','F C B FINANCIAL HOLDINGS INC'
205075,14855,'RYI','RYERSON HOLDING CORP'
205076,14879,'TTOO','T2 BIOSYSTEMS INC'
205086,14874,'OTIC','OTONOMY INC'
205113,14872,'LTRPA','LIBERTY TRIPADVISOR HOLDINGS INC'
205194,14884,'VEC','VECTRUS INC'
205195,14890,'CIVI','CIVITAS SOLUTIONS INC'
205208,14882,'ERI','ELDORADO RESORTS INC'
205211,14926,'CDK','C D K GLOBAL INC'
205457,14889,'CFG','CITIZENS FINANCIAL GROUP INC'
205459,14915,'SFS','SMART & FINAL STORES INC'
205514,14982,'VSLR','VIVINT SOLAR INC'
205516,14945,'AAC','A A C HOLDINGS INC'
205517,14995,'CALA','CALITHERA BIOSCIENCES INC'
205535,15023,'VWR','V W R CORP'
205536,14983,'W','WAYFAIR INC'
205537,15003,'DERM','DERMIRA INC'
205538,14961,'FMSA','FAIRMOUNT SANTROL HOLDINGS INC'
205539,15024,'YDLE','YODLEE INC'
205553,14970,'HUBS','HUBSPOT INC'
205560,14954,'DPLO','DIPLOMAT PHARMACY INC'
205599,14969,'GWB','GREAT WESTERN BANCORP INC'
205627,14991,'ATRA','ATARA BIOTHERAPEUTICS INC'
205638,14984,'ZAYO','ZAYO GROUP HOLDINGS INC'
205640,14939,'KEYS','KEYSIGHT TECHNOLOGIES INC'
205642,14942,'KE','KIMBALL ELECTRONICS INC'
205665,14941,'HYH','HALYARD HEALTH INC'
205678,14464,'NGHC','NATIONAL GENERAL HOLDINGS CORP'
205705,14953,'BOOT','BOOT BARN HOLDINGS INC'
205707,14960,'ENVA','ENOVA INTERNATIONAL INC'
205740,14944,'LBRDA','LIBERTY BROADBAND CORP'
205741,14988,'LBRDK','LIBERTY BROADBAND CORP'
205765,15059,'CHRS','COHERUS BIOSCIENCES INC'
