"DATE","Rf","Market_EXERT","MSFT"
2000-01-03,0.0217460317460317,-0.0217460317460317,0
2000-01-04,0.021547619047619,-3.93216302838871,-3.37803915808524
2000-01-05,0.0215873015873016,0.157269237972456,1.05435380140413
2000-01-06,0.021468253968254,-1.62855613341148,-3.34976583553588
2000-01-07,0.0213492063492064,5.78625098605271,1.30679554706874
2000-01-10,0.0215079365079365,0.321550255266822,0.729082086575272
2000-01-11,0.021547619047619,-1.21814928738062,-2.56122084009576
2000-01-12,0.0216269841269841,-1.0164018565418,-3.25710992783609
2000-01-13,0.021468253968254,1.33281993180485,1.89013184273634
2000-01-14,0.021468253968254,1.3363078766807,4.11588250504638
2000-01-18,0.0220634920634921,-0.808814984946801,2.72833198733469
2000-01-19,0.0218650793650794,0.792495746861533,-7.20870927804215
2000-01-20,0.0217460317460317,-1.55233709482057,-0.934538441219646
2000-01-21,0.0217063492063492,-0.237649468754805,-2.1226258507013
2000-01-24,0.0220238095238095,-2.85621940350865,-2.40964019165473
2000-01-25,0.0221031746031746,1.11348610267504,1.54321133794593
2000-01-26,0.0221428571428571,-0.814750660828776,-3.34345780150922
2000-01-27,0.0221825396825397,-0.42162385605297,-0.6289446001423
2000-01-28,0.0224206349206349,-3.14186497202262,-0.506293952950987
2000-01-31,0.0228571428571429,2.69102359117599,-0.381763575244076
2000-02-01,0.0226587301587302,0.962582777711697,5.17246413317425
2000-02-02,0.0224603174603175,0.0662421932749105,-2.06437211828139
2000-02-03,0.0223412698412698,1.48403279625603,2.78983703046061
2000-02-04,0.0225,-0.437125656720424,2.8347039644768
2000-02-07,0.0226984126984127,-0.1761040928902,0.0586649905296888
2000-02-08,0.0225793650793651,1.33823298797447,3.10668390838935
2000-02-09,0.0224603174603175,-2.12294153759712,-5.40077270183225
2000-02-10,0.0225,0.176585713846459,1.92307304106663
2000-02-11,0.0224603174603175,-2.05331088766623,-5.71935425302908
2000-02-14,0.0225396825396825,0.563281398775803,-0.312688299157382
2000-02-15,0.0228174603174603,1.10842277449686,-1.06646049155993
2000-02-16,0.0227380952380952,-1.49575054641818,-0.951239981842145
2000-02-17,0.0227777777777778,-0.539858646780295,2.0486843580013
2000-02-18,0.0228174603174603,-2.16970476466267,-4.57967776836206
2000-02-22,0.0230952380952381,-0.277154389705458,-1.31491412409843
2000-02-23,0.0230952380952381,1.15770914232017,0.466393155786071
2000-02-24,0.0230555555555556,-2.03676798456361,0.5304670027243
2000-02-25,0.0229761904761905,-0.384943567760224,-3.62796772475061
2000-02-28,0.023015873015873,2.0747129356,0.273771242184218
2000-02-29,0.0229365079365079,0.941210230649406,-2.38908214237414
2000-03-01,0.0228571428571429,0.704780904459027,1.60838160056971
2000-03-02,0.0228571428571429,0.0448412956927363,2.8217675822207
2000-03-03,0.0229761904761905,1.84939619844909,2.94512291681257
2000-03-06,0.0232142857142857,-0.997546098377928,-5.72171418354489
2000-03-07,0.0231349206349206,-1.95739773288501,2.48277137791808
2000-03-08,0.0231349206349206,-0.148535924988552,2.89366677840701
2000-03-09,0.0230952380952381,2.8993012706143,4.64353022350998
2000-03-10,0.0232936507936508,-0.555715391163011,1.00003424828479
2000-03-13,0.0233730158730159,-1.11616259885224,-2.97034190692703
2000-03-14,0.0232936507936508,-1.44379050151269,-2.93365240509388
2000-03-15,0.0232142857142857,2.30981527813422,0.262821889122411
2000-03-16,0.0232936507936508,4.64813177951393,0
2000-03-17,0.0233730158730159,0.637527442045185,4.1939957270503
2000-03-20,0.0236111111111111,-0.534032905973004,-2.0126466842136
2000-03-21,0.023452380952381,2.02872458190928,5.519921704854
2000-03-22,0.023452380952381,0.583991141816355,0.486627064500977
2000-03-23,0.0234126984126984,1.68382947379249,8.35349799251706
2000-03-24,0.023452380952381,0.570218542248992,-0.167584435636836
2000-03-27,0.0233333333333333,-1.08150025252711,-6.82711199392863
2000-03-28,0.0233333333333333,-0.59923041136373,0.240252286430076
2000-03-29,0.0233730158730159,0.0801074253064329,2.75616061678035
2000-03-30,0.0233333333333333,-1.69728782848939,-3.5568495153551
2000-03-31,0.0233333333333333,1.11157018504428,2.78117667342364
2000-04-03,0.0232936507936508,0.558601323094869,-14.4706178060942
2000-04-04,0.0231349206349206,-0.766948717195909,-2.54470937689578
2000-04-05,0.0232539682539683,-0.647713121531025,-2.47000363892457
2000-04-06,0.0233333333333333,0.845938885847517,-0.434129671239947
2000-04-07,0.0234126984126984,0.609957735075402,3.56103623777493
2000-04-10,0.0232142857142857,-0.415223187592823,-3.36841238668676
2000-04-11,0.0231349206349206,-0.313211250107276,-2.54179694591152
2000-04-12,0.0231349206349206,-2.76565398811003,-5.36509215226373
2000-04-13,0.0230555555555556,-1.41174620402607,-0.157517733377377
2000-04-14,0.0230555555555556,-5.74224599554591,-6.4668581565547
2000-04-17,0.0230952380952381,3.46954987910203,2.3608591399968
2000-04-18,0.0230555555555556,2.6190101489423,6.1779612692296
2000-04-19,0.0230555555555556,-0.9531719634487,-2.32738238081922
2000-04-20,0.0229761904761905,0.457396979738286,0.317664504662107
2000-04-24,0.023015873015873,-1.10952507919897,-15.5977647927629
2000-04-25,0.0229761904761905,4.12903245016857,4.12759728781502
2000-04-26,0.0228174603174603,-1.1512405504053,-1.98198781699366
2000-04-27,0.0228174603174603,-0.353493002631612,2.6654481350139
2000-04-28,0.0230952380952381,-0.643823750751826,-0.0895288378279901
2000-05-01,0.0238095238095238,1.33305487311336,5.28673260699393
2000-05-02,0.0234920634920635,-2.0209595727317,-4.85106084848507
